nolord | seed 1 | squad 14 | letter - | hold 6160 | end dead/down/left/standing 13/1/0/0 | got up 1 | last raider standing +6130, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 7/7 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord | seed 1 | squad 14 | letter - | hold 6250 | end dead/down/left/standing 12/1/1/0 | got up 1 | last raider standing +6220, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 7/7 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord+autoFlee | seed 1 | squad 14 | letter +3084 fled | hold 3910 | end dead/down/left/standing 6/1/7/0 | got up 0 | last raider standing +3880, standing again after clear 0 ticks | citizen downings after clear 1 | citizen downings held/all 7/8 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 2 | squad 14 | letter - | hold 5500 | end dead/down/left/standing 13/1/0/0 | got up 0 | last raider standing +5470, standing again after clear 0 ticks | citizen downings after clear 1 | citizen downings held/all 4/5 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: RaidEnemy
lord | seed 2 | squad 14 | letter - | hold 5500 | end dead/down/left/standing 13/1/0/0 | got up 0 | last raider standing +5470, standing again after clear 0 ticks | citizen downings after clear 1 | citizen downings held/all 4/5 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: RaidEnemy
lord+autoFlee | seed 2 | squad 14 | letter +2449 fled | hold 3100 | end dead/down/left/standing 7/0/7/0 | got up 0 | last raider standing +3070, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 2/4 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 3 | squad 14 | letter - | hold 5290 | end dead/down/left/standing 13/1/0/0 | got up 2 | last raider standing +21340, standing again after clear 3510 ticks | citizen downings after clear 2 | citizen downings held/all 8/10 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord | seed 3 | squad 14 | letter - | hold 5290 | end dead/down/left/standing 13/0/1/0 | got up 2 | last raider standing +14410, standing again after clear 660 ticks | citizen downings after clear 0 | citizen downings held/all 8/8 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord+autoFlee | seed 3 | squad 14 | letter +2293 fled | hold 2920 | end dead/down/left/standing 7/0/7/0 | got up 0 | last raider standing +2890, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 4/4 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 4 | squad 14 | letter - | hold 5230 | end dead/down/left/standing 13/1/0/0 | got up 2 | last raider standing +43810, standing again after clear 390 ticks | citizen downings after clear 0 | citizen downings held/all 9/9 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord | seed 4 | squad 14 | letter - | hold 5230 | end dead/down/left/standing 12/0/2/0 | got up 2 | last raider standing +54490, standing again after clear 1920 ticks | citizen downings after clear 0 | citizen downings held/all 9/9 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; HeatWave
lord+autoFlee | seed 4 | squad 14 | letter +2253 fled | hold 3160 | end dead/down/left/standing 6/0/8/0 | got up 1 | last raider standing +22360, standing again after clear 1110 ticks | citizen downings after clear 0 | citizen downings held/all 6/6 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 5 | squad 14 | letter - | hold 5500 | end dead/down/left/standing 14/0/0/0 | got up 2 | last raider standing +16060, standing again after clear 660 ticks | citizen downings after clear 0 | citizen downings held/all 8/8 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: RaidEnemy
lord | seed 5 | squad 14 | letter - | hold 5560 | end dead/down/left/standing 13/0/1/0 | got up 2 | last raider standing +17890, standing again after clear 690 ticks | citizen downings after clear 0 | citizen downings held/all 10/10 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: RaidEnemy
