nolord | seed 1 | squad 38 | letter - | hold 14970 | end dead/down/left/standing 18/1/19/0 | got up 4 | last raider standing +21240, standing again after clear 3000 ticks | citizen downings after clear 2 | citizen downings held/all 27/29 | citizen deaths at clear 2, all 6 | killed by raid at clear 2, all 6 | moments 0 new: 
lord | seed 1 | squad 38 | letter - | hold 14970 | end dead/down/left/standing 19/1/18/0 | got up 3 | last raider standing +14940, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 29/31 | citizen deaths at clear 2, all 4 | killed by raid at clear 2, all 4 | moments 0 new: 
lord+autoFlee | seed 1 | squad 38 | letter +5153 fled | hold 6180 | end dead/down/left/standing 18/2/18/0 | got up 2 | last raider standing +25440, standing again after clear 60 ticks | citizen downings after clear 0 | citizen downings held/all 17/17 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: Raiders fleeing: Raiders from Steel vale are fleeing.
nolord | seed 2 | squad 38 | letter - | hold 11910 | end dead/down/left/standing 15/0/23/0 | got up 0 | last raider standing +11880, standing again after clear 0 ticks | citizen downings after clear 3 | citizen downings held/all 29/32 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 1 new: Disease_Plague
lord | seed 2 | squad 38 | letter - | hold 11910 | end dead/down/left/standing 15/0/23/0 | got up 0 | last raider standing +11880, standing again after clear 0 ticks | citizen downings after clear 3 | citizen downings held/all 29/32 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 1 new: Disease_Plague
lord+autoFlee | seed 2 | squad 38 | letter - | hold 11910 | end dead/down/left/standing 15/0/23/0 | got up 0 | last raider standing +11880, standing again after clear 0 ticks | citizen downings after clear 3 | citizen downings held/all 29/32 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 1 new: Disease_Plague
nolord | seed 3 | squad 38 | letter - | hold 14700 | end dead/down/left/standing 20/0/18/0 | got up 5 | last raider standing +28440, standing again after clear 6990 ticks | citizen downings after clear 3 | citizen downings held/all 33/36 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
lord | seed 3 | squad 38 | letter - | hold 14700 | end dead/down/left/standing 16/0/22/0 | got up 5 | last raider standing +40170, standing again after clear 7380 ticks | citizen downings after clear 0 | citizen downings held/all 33/33 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
lord+autoFlee | seed 3 | squad 38 | letter +9537 fled | hold 15510 | end dead/down/left/standing 8/0/30/0 | got up 2 | last raider standing +24660, standing again after clear 300 ticks | citizen downings after clear 0 | citizen downings held/all 34/34 | citizen deaths at clear 3, all 4 | killed by raid at clear 3, all 4 | moments 1 new: Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 4 | squad 38 | letter - | hold 8280 | end dead/down/left/standing 2/0/36/0 | got up 1 | last raider standing +8250, standing again after clear 0 ticks | citizen downings after clear 4 | citizen downings held/all 27/31 | citizen deaths at clear 1, all 2 | killed by raid at clear 1, all 2 | moments 1 new: Romance: Vance and Oren became lovers.
lord | seed 4 | squad 38 | letter - | hold 8280 | end dead/down/left/standing 2/0/36/0 | got up 1 | last raider standing +8250, standing again after clear 0 ticks | citizen downings after clear 4 | citizen downings held/all 27/31 | citizen deaths at clear 1, all 2 | killed by raid at clear 1, all 2 | moments 1 new: Romance: Vance and Oren became lovers.
lord+autoFlee | seed 4 | squad 38 | letter - | hold 8280 | end dead/down/left/standing 2/0/36/0 | got up 1 | last raider standing +8250, standing again after clear 0 ticks | citizen downings after clear 4 | citizen downings held/all 27/31 | citizen deaths at clear 1, all 2 | killed by raid at clear 1, all 2 | moments 1 new: Romance: Vance and Oren became lovers.
nolord | seed 5 | squad 38 | letter - | hold 14280 | end dead/down/left/standing 19/1/18/0 | got up 1 | last raider standing +14250, standing again after clear 0 ticks | citizen downings after clear 1 | citizen downings held/all 31/32 | citizen deaths at clear 0, all 1 | killed by raid at clear 0, all 1 | moments 0 new: 
lord | seed 5 | squad 38 | letter - | hold 14280 | end dead/down/left/standing 19/1/18/0 | got up 1 | last raider standing +14250, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 31/31 | citizen deaths at clear 0, all 1 | killed by raid at clear 0, all 1 | moments 0 new: 
lord+autoFlee | seed 5 | squad 38 | letter +5272 fled | hold 6330 | end dead/down/left/standing 19/1/18/0 | got up 1 | last raider standing +14160, standing again after clear 60 ticks | citizen downings after clear 0 | citizen downings held/all 21/21 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: Raiders fleeing: Raiders from Steel vale are fleeing.
nolord | seed 6 | squad 38 | letter - | hold 16050 | end dead/down/left/standing 19/2/17/0 | got up 3 | last raider standing +16020, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 29/29 | citizen deaths at clear 5, all 6 | killed by raid at clear 5, all 6 | moments 0 new: 
lord | seed 6 | squad 38 | letter - | hold 15900 | end dead/down/left/standing 16/1/21/0 | got up 3 | last raider standing +15870, standing again after clear 0 ticks | citizen downings after clear 1 | citizen downings held/all 28/29 | citizen deaths at clear 5, all 5 | killed by raid at clear 5, all 5 | moments 0 new: 
lord+autoFlee | seed 6 | squad 38 | letter +5175 fled | hold 6120 | end dead/down/left/standing 18/2/18/0 | got up 2 | last raider standing +14040, standing again after clear 330 ticks | citizen downings after clear 1 | citizen downings held/all 18/19 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 1 new: Raiders fleeing: Raiders from Steel vale are fleeing.
nolord | seed 7 | squad 38 | letter - | hold 11340 | end dead/down/left/standing 9/0/29/0 | got up 0 | last raider standing +11310, standing again after clear 0 ticks | citizen downings after clear 13 | citizen downings held/all 27/40 | citizen deaths at clear 2, all 3 | killed by raid at clear 2, all 3 | moments 0 new: 
lord | seed 7 | squad 38 | letter - | hold 11340 | end dead/down/left/standing 9/0/29/0 | got up 0 | last raider standing +11310, standing again after clear 0 ticks | citizen downings after clear 13 | citizen downings held/all 27/40 | citizen deaths at clear 2, all 3 | killed by raid at clear 2, all 3 | moments 0 new: 
lord+autoFlee | seed 7 | squad 38 | letter - | hold 11340 | end dead/down/left/standing 9/0/29/0 | got up 0 | last raider standing +11310, standing again after clear 0 ticks | citizen downings after clear 13 | citizen downings held/all 27/40 | citizen deaths at clear 2, all 3 | killed by raid at clear 2, all 3 | moments 0 new: 
nolord | seed 8 | squad 38 | letter - | hold 12810 | end dead/down/left/standing 17/1/20/0 | got up 1 | last raider standing +12780, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 34/34 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
lord | seed 8 | squad 38 | letter - | hold 12780 | end dead/down/left/standing 18/0/20/0 | got up 1 | last raider standing +12750, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 34/36 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
lord+autoFlee | seed 8 | squad 38 | letter - | hold 12780 | end dead/down/left/standing 18/0/20/0 | got up 1 | last raider standing +12750, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 34/36 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
nolord | seed 9 | squad 38 | letter - | hold 10620 | end dead/down/left/standing 14/1/23/0 | got up 1 | last raider standing +10590, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 29/31 | citizen deaths at clear 2, all 3 | killed by raid at clear 2, all 3 | moments 0 new: 
lord | seed 9 | squad 38 | letter - | hold 10410 | end dead/down/left/standing 14/0/24/0 | got up 2 | last raider standing +21780, standing again after clear 1170 ticks | citizen downings after clear 1 | citizen downings held/all 28/29 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
lord+autoFlee | seed 9 | squad 38 | letter - | hold 10410 | end dead/down/left/standing 14/0/24/0 | got up 2 | last raider standing +21780, standing again after clear 1170 ticks | citizen downings after clear 1 | citizen downings held/all 28/29 | citizen deaths at clear 2, all 2 | killed by raid at clear 2, all 2 | moments 0 new: 
nolord | seed 10 | squad 38 | letter - | hold 11340 | end dead/down/left/standing 8/0/30/0 | got up 0 | last raider standing +11310, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 31/33 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 0 new: 
lord | seed 10 | squad 38 | letter - | hold 11340 | end dead/down/left/standing 8/0/30/0 | got up 0 | last raider standing +11310, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 31/33 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 0 new: 
lord+autoFlee | seed 10 | squad 38 | letter - | hold 11340 | end dead/down/left/standing 8/0/30/0 | got up 0 | last raider standing +11310, standing again after clear 0 ticks | citizen downings after clear 2 | citizen downings held/all 31/33 | citizen deaths at clear 3, all 3 | killed by raid at clear 3, all 3 | moments 0 new: 
done raid2
